Habit,Taxa1,Taxa2,C1,C2,C3,C4,pC1,pC2,pC3,pC4
Terrestrial,Amphiesma_stolatum_2,Hebius_boulengeri_2,0.3615228366092733,0.02678460760107535,0.13272651454659032,0.008169310770452947,0.07920792079207921,0.06930693069306931,0.09900990099009901,0.1782178217821782
Terrestrial,Amphiesma_stolatum_2,Hebius_modestum,0.37696300256896786,0.03547526742158652,0.159509281384082,0.010819963784730977,0.0297029702970297,0,0.0594059405940594,0.04950495049504951
Terrestrial,Amphiesma_stolatum_2,Hebius_octolineatum_3,0.5870182178545406,0.0579276591012618,0.2720576872913267,0.01766794781731525,0,0.009900990099009901,0,0.009900990099009901
Terrestrial,Amphiesma_stolatum_2,Hebius_sauteri_1,0.5420537449967269,0.052124375600369977,0.2363208886903657,0.015897945168259302,0,0,0.009900990099009901,0.039603960396039604
Terrestrial,Amphiesma_stolatum_2,Herpetoreas_platyceps,0.6648790684840484,0.07943693729136603,0.3474809928745507,0.024228282043605446,0,0,0,0
Terrestrial,Amphiesma_stolatum_2,Herpetoreas_sp1,0.5495171155758543,0.06039288890100692,0.2578629266764681,0.018419843408045908,0,0,0,0
Terrestrial,Amphiesma_stolatum_2,Herpetoreas_xenura,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_stolatum_2,Lycognathophis_seychellensis,0.5913145230732555,0.08196987546997087,0.3750916367354064,0.03495057430737417,0.009900990099009901,0,0,0
Terrestrial,Amphiesma_stolatum_2,Pseudagkistrodon_rudis,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_stolatum_2,Thamnophis_brachystoma,0.35358435039838443,0.029022104876352074,0.10150619007781275,0.004272282206824618,0.04950495049504951,0.039603960396039604,0.15841584158415842,0.19801980198019803
Terrestrial,Amphiesma_stolatum_2,Thamnophis_exsul,0.5982449956751968,0.046171835902755864,0.1512446294575223,0.006796857561647829,0,0.019801980198019802,0.09900990099009901,0.1188118811881188
Terrestrial,Amphiesma_stolatum_2,Thamnophis_scalaris_2,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_stolatum_2,Thamnophis_scaliger_1,0.5077671402328849,0.03673586527993566,0.11931844501360006,0.005407808436239882,0.0297029702970297,0.04950495049504951,0.13861386138613863,0.16831683168316833
Terrestrial,Hebius_atemporale_1,Hebius_boulengeri_2,0.18696155270724824,0.016036532874050907,0.13599687195689844,0.056560407315399255,0.0891089108910891,0.009900990099009901,0.07920792079207921,0.039603960396039604
Terrestrial,Hebius_atemporale_1,Hebius_modestum,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Hebius_atemporale_1,Hebius_octolineatum_3,0.4311651381212531,0.029918851511074568,0.24636952210714727,0.12739339989470536,0.009900990099009901,0,0.009900990099009901,0
