Species,Habit,Diet,Origin,Lineage,JL_log10_res,HLRA_log10_res,HLV_log10_res,HWLSL_log10_res,HWFSL_log10_res,HW_log10_res,HHP_log10_res,HH_log10_res,ES_log10_res,EN_log10_res,ED_log10_res,NL_log10_res,EL_log10_res,NN_log10_res,EE_log10_res,BWH_log10_res,BWM_log10_res,BWV_log10_res,MBVL_log10_res,TL_log10_res,DSR_res
Natrix_natrix,Semiaquatic,generalist,Asian-European,Europe-Central Asian,0.01267661986856002,-0.018837910502544762,-0.007227223546624251,0.020453079969108917,0.014450819678607375,0.03370669382480346,0.05986798180093551,-0.013358119506547042,-0.013809309607215414,-0.048459457464852904,-0.030722965096980512,-0.006676516005269599,-0.0011018099155310451,0.0316184466262978,0.006039531723506597,0.03355838591420239,-0.02145284098398392,0.01646126540394495,-0.030456049672216986,-0.123262234769321,-1.3767951281538995
Natrix_natrix_persa,Semiaquatic,generalist,Asian-European,Europe-Central Asian,0.012587266922469434,-0.00846599584491389,-0.042366606482730426,0.03656796479907849,0.05925701384313901,0.03953979807700841,-0.0337828181059195,0.023055583549640497,0.019048444466710453,-0.016778436510185346,0.02228526989369806,0.04758870841874934,0.04759402867314446,0.07013326594213812,0.04433557592832903,0.03145374761912828,-0.02139648556548219,-0.05492317337857422,-0.05820255121022998,-0.04243453419056105,-0.09330383539657415
Natrix_tessellata_3,Aquatic,aquatic generalist,Asian-European,Europe-Central Asian,0.025087997357557658,0.03180599492350572,0.007839536677910939,0.0400589737974956,0.016317752424382038,0.02407175042921725,-0.011400896106274514,0.010076016876039139,0.019521951746349055,-0.009329481038330343,-0.007294596979274799,0.02168380913604246,0.0052992241111044025,-0.0372574282104892,-0.038157438882748584,-0.018781223570658367,0.016454337071301006,0.013613895366934716,0.014691160935263372,-0.051956699164918456,-0.28425014143687277
Nerodia_clarkii,Aquatic,aquatic generalist,American,North-Central American,0.04980283461826222,0.0662279771960582,0.06273649941200157,0.04259934424664952,0.013849670694173517,0.04509514448008581,0.04136046964024603,0.0578652013402563,0.06975271146803673,0.12112638956000138,0.03536292387542169,0.0806925749160208,0.04189710467716466,0.04622491281718603,0.012983306758312496,0.04626232073890566,0.11631480579430484,0.08586416510217232,0.08223622753885446,0.03227820865902873,1.2257677262674909
Nerodia_cyclopion,Aquatic,aquatic generalist,American,North-Central American,0.06572064899956795,0.09260379858038344,0.1088724407042253,0.08664873237688803,0.09210995070150291,0.06515671645612545,0.07852602921616747,0.12339285372028996,0.039438702666637265,0.05402818733502509,0.005757456416285464,0.06763419416343301,0.05504209896883412,-0.02519337774261381,0.0019180555926739385,0.0803632163077062,0.13457036947000658,0.04959406775417232,0.09572866176445675,-0.008518237136019543,5.56250496098866
Nerodia_erythrogaster,Aquatic,aquatic generalist,American,North-Central American,0.021520184443645746,0.04635483383182599,0.04575750713209307,0.05687924426421862,-0.005669256666938828,0.04607425836014776,0.07023100709626791,0.05266384870202217,0.04953065196421035,0.0642800424807691,0.053141122780336926,0.07150694632930218,0.0744798118648661,0.03281189418350025,0.02151050902944651,0.07312081446917679,0.07929313086613891,0.05164820313268225,0.09790019384474247,-0.06609619136926483,2.467037780538104
Nerodia_fasciata,Aquatic,aquatic generalist,American,North-Central American,0.0778940228101135,0.07514955176341309,0.08721805164188108,0.07320113562671582,0.04282769595476085,0.07228128274415643,0.05901734916930468,0.0843984324340265,0.07660689789657983,0.09311091400167998,0.08595382986579822,0.10724688905255206,0.11206970624279942,9.684071000633673e-4,0.05812087826644623,0.07287526404231803,0.11398631363812085,0.06129686442755525,0.10680777290294803,0.03765664523135178,3.5978033027252554
Nerodia_floridana,Aquatic,aquatic generalist,American,North-Central American,0.08468907033439484,0.10725433772870438,0.12144055292413068,0.12520282012470418,0.06988656080190189,0.11519046083797557,0.12153997642987144,0.16247888023876772,0.033066074609648805,0.053845425668838175,-0.05859529077276087,0.1259619441137395,0.08180173807515713,-0.038046748588024384,0.004007332811617129,0.19821972562257426,0.1758075864620931,0.12195683574545854,0.13059657269114722,-0.01002434002204888,8.42388006472874
Nerodia_harteri,Aquatic,aquatic generalist,American,North-Central American,0.020005477302155204,0.027433528883946408,0.04227449887956163,-0.02377002164152365,-0.05267857676316662,-0.03715074434726667,-0.022830225903423845,0.009264104639914287,-0.0021788796490518074,0.006283954853298099,-0.02061128178685298,0.033666856585370754,-0.021796669624081947,-0.05931582546995957,-0.04211613952018553,0.005743564687855628,0.05213482943219688,0.06399978122647168,0.03118822260238319,0.06285989972477324,1.356725488054853
Nerodia_paucimaculata,Aquatic,aquatic generalist,American,North-Central American,0.02899604979705508,0.0506414970337316,0.0677905360726523,0.014612043008683214,0.02530719449788941,0.008809027825032362,-0.008726723972615274,0.004475010111481064,0.025220506034652184,0.058145647689809676,0.004907028678752486,0.04426544609145227,0.015171752083977634,0.003180405008677051,0.0012883258253780648,-0.007745984259799418,0.06937707051412408,0.07208411033771678,0.059894037727357234,0.008098096148005416,2.3290245800617124
