Taxa1,Taxa2,Habit
Fowlea_sanctijohannis,Nerodia_taxispilota,Aquatic
Fowlea_sanctijohannis,Paratapinophis_praemaxillaris,Aquatic
Fowlea_sanctijohannis,Regina_grahami,Aquatic
Fowlea_sanctijohannis,Regina_septemvittata,Aquatic
Fowlea_sanctijohannis,Thamnophis_couchii,Aquatic
Fowlea_sanctijohannis,Thamnophis_rufipunctatus,Aquatic
Fowlea_sanctijohannis,Thamnophis_sumichrasti,Aquatic
Fowlea_sanctijohannis,Thamnophis_validus,Aquatic
Fowlea_sanctijohannis,Trimerodytes_aequifasciata,Aquatic
Fowlea_sanctijohannis,Trimerodytes_annularis,Aquatic
Fowlea_sanctijohannis,Trimerodytes_percarinata,Aquatic
Fowlea_sanctijohannis,Xenochrophis_trianguligerus_1,Aquatic
Fowlea_sanctijohannis,Xenochrophis_trianguligerus_2,Aquatic
Fowlea_sanctijohannis,Xenochrophis_vittatus,Aquatic
Fowlea_schnurrenbergeri,Helophis_schoutedeni,Aquatic
Fowlea_schnurrenbergeri,Hydraethiops_laevis,Aquatic
Fowlea_schnurrenbergeri,Hydraethiops_melanogaster,Aquatic
Fowlea_schnurrenbergeri,Limnophis_bangweolicus,Aquatic
Fowlea_schnurrenbergeri,Limnophis_bicolor,Aquatic
Fowlea_schnurrenbergeri,Liodytes_alleni,Aquatic
Fowlea_schnurrenbergeri,Liodytes_pygaea,Aquatic
Fowlea_schnurrenbergeri,Liodytes_rigida,Aquatic
Fowlea_schnurrenbergeri,Natrix_tessellata_3,Aquatic
Fowlea_schnurrenbergeri,Nerodia_clarkii,Aquatic
Fowlea_schnurrenbergeri,Nerodia_cyclopion,Aquatic
Fowlea_schnurrenbergeri,Nerodia_erythrogaster,Aquatic
Fowlea_schnurrenbergeri,Nerodia_fasciata,Aquatic
Fowlea_schnurrenbergeri,Nerodia_floridana,Aquatic
Fowlea_schnurrenbergeri,Nerodia_harteri,Aquatic
Fowlea_schnurrenbergeri,Nerodia_paucimaculata,Aquatic
Fowlea_schnurrenbergeri,Nerodia_rhombifer,Aquatic
Fowlea_schnurrenbergeri,Nerodia_sipedon,Aquatic
Fowlea_schnurrenbergeri,Nerodia_taxispilota,Aquatic
Fowlea_schnurrenbergeri,Paratapinophis_praemaxillaris,Aquatic
Fowlea_schnurrenbergeri,Regina_grahami,Aquatic
Fowlea_schnurrenbergeri,Regina_septemvittata,Aquatic
Fowlea_schnurrenbergeri,Thamnophis_couchii,Aquatic
Fowlea_schnurrenbergeri,Thamnophis_rufipunctatus,Aquatic
Fowlea_schnurrenbergeri,Thamnophis_sumichrasti,Aquatic
Fowlea_schnurrenbergeri,Thamnophis_validus,Aquatic
Fowlea_schnurrenbergeri,Trimerodytes_aequifasciata,Aquatic
Fowlea_schnurrenbergeri,Trimerodytes_annularis,Aquatic
Fowlea_schnurrenbergeri,Trimerodytes_percarinata,Aquatic
Fowlea_schnurrenbergeri,Xenochrophis_trianguligerus_1,Aquatic
Fowlea_schnurrenbergeri,Xenochrophis_trianguligerus_2,Aquatic
Fowlea_schnurrenbergeri,Xenochrophis_vittatus,Aquatic
Fowlea_sp2,Helophis_schoutedeni,Aquatic
Fowlea_sp2,Hydraethiops_laevis,Aquatic
Fowlea_sp2,Hydraethiops_melanogaster,Aquatic
Fowlea_sp2,Limnophis_bangweolicus,Aquatic
Fowlea_sp2,Limnophis_bicolor,Aquatic
Fowlea_sp2,Liodytes_alleni,Aquatic
Fowlea_sp2,Liodytes_pygaea,Aquatic
Fowlea_sp2,Liodytes_rigida,Aquatic
Fowlea_sp2,Natrix_tessellata_3,Aquatic
Fowlea_sp2,Nerodia_clarkii,Aquatic
Fowlea_sp2,Nerodia_cyclopion,Aquatic
Fowlea_sp2,Nerodia_erythrogaster,Aquatic
Fowlea_sp2,Nerodia_fasciata,Aquatic
Fowlea_sp2,Nerodia_floridana,Aquatic
Fowlea_sp2,Nerodia_harteri,Aquatic
Fowlea_sp2,Nerodia_paucimaculata,Aquatic
Fowlea_sp2,Nerodia_rhombifer,Aquatic
Fowlea_sp2,Nerodia_sipedon,Aquatic
Fowlea_sp2,Nerodia_taxispilota,Aquatic
Fowlea_sp2,Paratapinophis_praemaxillaris,Aquatic
Fowlea_sp2,Regina_grahami,Aquatic
Fowlea_sp2,Regina_septemvittata,Aquatic
Fowlea_sp2,Thamnophis_couchii,Aquatic
Fowlea_sp2,Thamnophis_rufipunctatus,Aquatic
Fowlea_sp2,Thamnophis_sumichrasti,Aquatic
Fowlea_sp2,Thamnophis_validus,Aquatic
Fowlea_sp2,Trimerodytes_aequifasciata,Aquatic
Fowlea_sp2,Trimerodytes_annularis,Aquatic
Fowlea_sp2,Trimerodytes_percarinata,Aquatic
Fowlea_sp2,Xenochrophis_trianguligerus_1,Aquatic
Fowlea_sp2,Xenochrophis_trianguligerus_2,Aquatic
Fowlea_sp2,Xenochrophis_vittatus,Aquatic
Fowlea_tytleri,Helophis_schoutedeni,Aquatic
Fowlea_tytleri,Hydraethiops_laevis,Aquatic
Fowlea_tytleri,Hydraethiops_melanogaster,Aquatic
Fowlea_tytleri,Limnophis_bangweolicus,Aquatic
Fowlea_tytleri,Limnophis_bicolor,Aquatic
Fowlea_tytleri,Liodytes_alleni,Aquatic
Fowlea_tytleri,Liodytes_pygaea,Aquatic
Fowlea_tytleri,Liodytes_rigida,Aquatic
Fowlea_tytleri,Natrix_tessellata_3,Aquatic
Fowlea_tytleri,Nerodia_clarkii,Aquatic
Fowlea_tytleri,Nerodia_cyclopion,Aquatic
Fowlea_tytleri,Nerodia_erythrogaster,Aquatic
Fowlea_tytleri,Nerodia_fasciata,Aquatic
Fowlea_tytleri,Nerodia_floridana,Aquatic
Fowlea_tytleri,Nerodia_harteri,Aquatic
Fowlea_tytleri,Nerodia_paucimaculata,Aquatic
Fowlea_tytleri,Nerodia_rhombifer,Aquatic
Fowlea_tytleri,Nerodia_sipedon,Aquatic
Fowlea_tytleri,Nerodia_taxispilota,Aquatic
Fowlea_tytleri,Paratapinophis_praemaxillaris,Aquatic
Fowlea_tytleri,Regina_grahami,Aquatic
Fowlea_tytleri,Regina_septemvittata,Aquatic
Fowlea_tytleri,Thamnophis_couchii,Aquatic
Fowlea_tytleri,Thamnophis_rufipunctatus,Aquatic
Fowlea_tytleri,Thamnophis_sumichrasti,Aquatic
Fowlea_tytleri,Thamnophis_validus,Aquatic
Fowlea_tytleri,Trimerodytes_aequifasciata,Aquatic
Fowlea_tytleri,Trimerodytes_annularis,Aquatic
Fowlea_tytleri,Trimerodytes_percarinata,Aquatic
Fowlea_tytleri,Xenochrophis_trianguligerus_1,Aquatic
Fowlea_tytleri,Xenochrophis_trianguligerus_2,Aquatic
Fowlea_tytleri,Xenochrophis_vittatus,Aquatic
Fowlea_yunnanensis,Helophis_schoutedeni,Aquatic
Fowlea_yunnanensis,Hydraethiops_laevis,Aquatic
Fowlea_yunnanensis,Hydraethiops_melanogaster,Aquatic
Fowlea_yunnanensis,Limnophis_bangweolicus,Aquatic
Fowlea_yunnanensis,Limnophis_bicolor,Aquatic
Fowlea_yunnanensis,Liodytes_alleni,Aquatic
Fowlea_yunnanensis,Liodytes_pygaea,Aquatic
Fowlea_yunnanensis,Liodytes_rigida,Aquatic
Fowlea_yunnanensis,Natrix_tessellata_3,Aquatic
Fowlea_yunnanensis,Nerodia_clarkii,Aquatic
Fowlea_yunnanensis,Nerodia_cyclopion,Aquatic
Fowlea_yunnanensis,Nerodia_erythrogaster,Aquatic
Fowlea_yunnanensis,Nerodia_fasciata,Aquatic
Fowlea_yunnanensis,Nerodia_floridana,Aquatic
Fowlea_yunnanensis,Nerodia_harteri,Aquatic
Fowlea_yunnanensis,Nerodia_paucimaculata,Aquatic
Fowlea_yunnanensis,Nerodia_rhombifer,Aquatic
Fowlea_yunnanensis,Nerodia_sipedon,Aquatic
Fowlea_yunnanensis,Nerodia_taxispilota,Aquatic
Fowlea_yunnanensis,Paratapinophis_praemaxillaris,Aquatic
Fowlea_yunnanensis,Regina_grahami,Aquatic
Fowlea_yunnanensis,Regina_septemvittata,Aquatic
